lr-SGD,step,loss_step,top1_step,top5_step,epoch,val_top1,loss_epoch,top1_epoch,top5_epoch
,3099,0.7219201922416687,78.125,97.65625,7,,,,
,3119,,,,7,76.2119369506836,,,
,3119,,,,7,,0.5911875367164612,80.21634674072266,98.72595977783203
0.10000001,3149,,,,,,,,
,3149,0.7025574445724487,80.46875,97.65625,8,,,,
0.10000001,3199,,,,,,,,
,3199,0.5439932346343994,79.6875,99.21875,8,,,,
0.10000001,3249,,,,,,,,
,3249,0.5995209813117981,80.46875,99.21875,8,,,,
0.10000001,3299,,,,,,,,
,3299,0.5253497958183289,82.03125,99.21875,8,,,,
0.10000001,3349,,,,,,,,
,3349,0.5772660970687866,81.25,97.65625,8,,,,
0.10000001,3399,,,,,,,,
,3399,0.6019066572189331,78.90625,99.21875,8,,,,
0.10000001,3449,,,,,,,,
,3449,0.5168620944023132,82.03125,98.4375,8,,,,
0.10000001,3499,,,,,,,,
,3499,0.5370673537254333,81.25,98.4375,8,,,,
,3509,,,,8,76.16185760498047,,,
,3509,,,,8,,0.5730518102645874,80.71714782714844,98.76402282714844
0.10000001,3549,,,,,,,,
,3549,0.5505070090293884,83.59375,100.0,9,,,,
0.10000001,3599,,,,,,,,
,3599,0.5518369674682617,80.46875,99.21875,9,,,,
0.10000001,3649,,,,,,,,
,3649,0.545428454875946,83.59375,99.21875,9,,,,
0.10000001,3699,,,,,,,,
,3699,0.5347634553909302,80.46875,98.4375,9,,,,
0.10000001,3749,,,,,,,,
,3749,0.5164811611175537,82.03125,100.0,9,,,,
0.10000001,3799,,,,,,,,
,3799,0.48595014214515686,81.25,100.0,9,,,,
0.10000001,3849,,,,,,,,
,3849,0.43171048164367676,84.375,100.0,9,,,,
0.10000001,3899,,,,,,,,
,3899,0.508314847946167,80.46875,100.0,9,,,,
,3899,,,,9,78.33533477783203,,,
,3899,,,,9,,0.5494107604026794,81.85697174072266,98.93830108642578
0.10000001,3949,,,,,,,,
,3949,0.5661635398864746,80.46875,98.4375,10,,,,
0.10000001,3999,,,,,,,,
,3999,0.5064653158187866,83.59375,99.21875,10,,,,
0.10000001,4049,,,,,,,,
,4049,0.6939809322357178,75.78125,99.21875,10,,,,
0.10000001,4099,,,,,,,,
,4099,0.5786321759223938,81.25,97.65625,10,,,,
0.10000001,4149,,,,,,,,
,4149,0.610441267490387,79.6875,98.4375,10,,,,
0.10000001,4199,,,,,,,,
,4199,0.5359049439430237,80.46875,99.21875,10,,,,
0.10000001,4249,,,,,,,,
,4249,0.6827027797698975,74.21875,100.0,10,,,,
,4289,,,,10,78.46554565429688,,,
,4289,,,,10,,0.535127580165863,82.28165435791016,98.9102554321289
0.10000001,4299,,,,,,,,
,4299,0.6475815176963806,75.78125,98.4375,11,,,,
0.10000001,4349,,,,,,,,
,4349,0.5479358434677124,78.125,100.0,11,,,,
0.10000001,4399,,,,,,,,
,4399,0.7078643441200256,78.125,97.65625,11,,,,
0.10000001,4449,,,,,,,,
,4449,0.49672773480415344,81.25,99.21875,11,,,,
0.10000001,4499,,,,,,,,
,4499,0.5096791982650757,79.6875,100.0,11,,,,
0.10000001,4549,,,,,,,,
,4549,0.4218183755874634,86.71875,98.4375,11,,,,
0.10000001,4599,,,,,,,,
,4599,0.48255541920661926,85.9375,98.4375,11,,,,
0.10000001,4649,,,,,,,,
,4649,0.5864962339401245,81.25,99.21875,11,,,,
,4679,,,,11,77.3838119506836,,,
,4679,,,,11,,0.5227587819099426,82.44992065429688,98.9503173828125
0.10000001,4699,,,,,,,,
,4699,0.5166175365447998,80.46875,99.21875,12,,,,
0.10000001,4749,,,,,,,,
,4749,0.5631390810012817,82.03125,97.65625,12,,,,
0.10000001,4799,,,,,,,,
,4799,0.37121957540512085,85.9375,100.0,12,,,,
0.10000001,4849,,,,,,,,
,4849,0.5909295082092285,81.25,99.21875,12,,,,
0.10000001,4899,,,,,,,,
,4899,0.4759282171726227,84.375,99.21875,12,,,,
0.10000001,4949,,,,,,,,
,4949,0.63189697265625,78.90625,98.4375,12,,,,
0.10000001,4999,,,,,,,,
,4999,0.3947509825229645,86.71875,99.21875,12,,,,
0.10000001,5049,,,,,,,,
,5049,0.5685128569602966,82.03125,99.21875,12,,,,
,5069,,,,12,78.23517608642578,,,
,5069,,,,12,,0.5130596160888672,82.93269348144531,99.07451629638672
0.10000001,5099,,,,,,,,
,5099,0.48011961579322815,83.59375,98.4375,13,,,,
0.10000001,5149,,,,,,,,
,5149,0.5960718393325806,78.90625,99.21875,13,,,,
0.10000001,5199,,,,,,,,
,5199,0.5255299806594849,81.25,99.21875,13,,,,
0.10000001,5249,,,,,,,,
,5249,0.6228047609329224,78.90625,100.0,13,,,,
0.10000001,5299,,,,,,,,
,5299,0.3959272801876068,85.9375,99.21875,13,,,,
0.10000001,5349,,,,,,,,
,5349,0.4072394371032715,86.71875,98.4375,13,,,,
0.10000001,5399,,,,,,,,
,5399,0.5534771084785461,82.8125,98.4375,13,,,,
0.10000001,5449,,,,,,,,
,5449,0.41944748163223267,85.9375,100.0,13,,,,
,5459,,,,13,80.28845977783203,,,
,5459,,,,13,,0.49960076808929443,83.3213119506836,99.04246520996094
0.10000001,5499,,,,,,,,
,5499,0.5384340286254883,82.8125,97.65625,14,,,,
0.10000001,5549,,,,,,,,
,5549,0.5464896559715271,82.03125,98.4375,14,,,,
0.10000001,5599,,,,,,,,
,5599,0.6552864909172058,78.125,97.65625,14,,,,
0.10000001,5649,,,,,,,,
,5649,0.42659372091293335,85.15625,100.0,14,,,,
0.10000001,5699,,,,,,,,
,5699,0.5749788284301758,84.375,96.875,14,,,,
0.10000001,5749,,,,,,,,
,5749,0.37948423624038696,87.5,100.0,14,,,,
0.10000001,5799,,,,,,,,
,5799,0.3923141658306122,87.5,100.0,14,,,,
0.10000001,5849,,,,,,,,
,5849,0.41422608494758606,85.9375,100.0,14,,,,
,5849,,,,14,80.02804565429688,,,
,5849,,,,14,,0.4926537871360779,83.4755630493164,99.10857391357422
